Base,Simple Past, Past Participle
arise,arose,arisen
awake,awoke,awoken
be,was|were,been
bear,bore,borne|born
beat,beat,beaten
become,became,become
begin,began,begun
bend,bent,bent
bet,bet,bet
bid,bid,bid
bind,bound,bound
bite,bit,bitten
bleed,bled,bled
blow,blew,blown
break,broke,broken
breed,bred,bred
bring,brought,brought
broadcast,broadcast,broadcast
build,built,built
burn,burned|burnt,burned|burnt
burst,burst,burst
buy,bought,bought
cast,cast,cast
catch,caught,caught
choose,chose,chosen
cling,clung,clung
come,came,come
cost,cost,cost
creep,crept,crept
cut,cut,cut
deal,dealt,dealt
dig,dug,dug
do,did,done
draw,drew,drawn
dream,dreamed|dreamt,dreamed|dreamt
drink,drank,drunk
drive,drove,driven
eat,ate,eaten
fall,fell,fallen
feed,fed,fed
feel,felt,felt
fight,fought,fought
find,found,found
fit,fit,fit
flee,fled,fled
fling,flung,flung
fly,flew,flown
forbid,forbade,forbidden
forecast,forecast,forecast
foretell,foretold,foretold
forget,forgot,forgotten
forgive,forgave,forgiven
forsake,forsook,forsaken
freeze,froze,frozen
get,got,gotten|got
give,gave,given
go,went,gone
grind,ground,ground
grow,grew,grown
hang,hung,hung
have,had,had
hear,heard,heard
hide,hid,hidden
hit,hit,hit
hold,held,held
hurt,hurt,hurt
keep,kept,kept
kneel,knelt|kneeled,knelt|kneeled
knit,knit|knitted,knit|knitted
know,knew,known
lay,laid,laid
lead,led,led
lean,leaned|leant,leaned|leant
leap,leaped|leapt,leaped|leapt
learn,learned|learnt,learned|learnt
leave,left,left
lend,lent,lent
let,let,let
lie,lay,lain
light,lighted|lit,lighted|lit
lose,lost,lost
make,made,made
mean,meant,meant
meet,met,met
mislay,mislaid,mislaid
mistake,mistook,mistaken
overtake,overtook,overtaken
pay,paid,paid
prove,proved,proved|proven
put,put,put
quit,quit,quit
read,read,read
rid,rid|ridded,rid|ridded
ride,rode,ridden
ring,rang,rung
rise,rose,risen
run,ran,run
saw,sawed,sawed|sawn
say,said,said
see,saw,seen
seek,sought,sought
sell,sold,sold
send,sent,sent
set,set,set
sew,sewed,sewn|sewed
shake,shook,shaken
shave,shaved,shaved|shaven
shear,sheared,sheared|shorn
shine,shone,shone
shoot,shot,shot
show,showed,showed|shown
shrink,shrank,shrunk
shut,shut,shut
sing,sang,sung
sink,sank|sunk,sunk
sit,sat,sat
slay,slew,slain
sleep,slept,slept
slide,slid,slid
slit,slit,slit
smell,smelled|smelt,smelled|smelt
sneak,sneaked|snuck,sneaked|snuck
speak,spoke,spoken
speed,sped,sped
spell,spelled|spelt,spelled|spelt
spend,spent,spent
spill,spilled|spilt,spilled|spilt
spin,spun,spun
spit,spat|spit,spat|spit
split,split,split
spoil,spoiled|spoilt,spoiled|spoilt
spread,spread,spread
spring,sprang,sprung
stand,stood,stood
steal,stole,stolen
stick,stuck,stuck
sting,stung,stung
stink,stank|stunk,stunk
strew,strewed,strewn
strike,struck,struck|stricken
string,strung,strung
strive,strove,striven
swear,swore,sworn
sweep,swept,swept
swell,swelled,swelled|swollen
swim,swam,swum
swing,swung,swung
take,took,taken
teach,taught,taught
tear,tore,torn
tell,told,told
think,thought,thought
throw,threw,thrown
thrust,thrust,thrust
undergo,underwent,undergone
understand,understood,understood
undertake,undertook,undertaken
upset,upset,upset
wake,woke,woken
wear,wore,worn
weave,wove|weaved,woven|weaved
weep,wept,wept
wet,wet|wetted,wet|wetted
win,won,won
wind,wound,wound
withdraw,withdrew,withdrawn
wring,wrung,wrung
write,wrote,written
